mean_infecteds,sum_persist,mean_percent_infected,omega,immunity_duration,model,patches
67.015,77.9,14.22391165916501,0.07142857142857142,14,meta,14
48.501999999999995,78.60000000000001,9.680270700562712,0.05,20,meta,14
37.825,78.9,7.314141798880081,0.03333333333333333,30,meta,14
30.683000000000007,78.9,5.819587612440914,0.025,40,meta,14
26.395999999999997,79.10000000000001,4.958535562029187,0.02,50,meta,14
22.772000000000006,78.9,4.22322298299313,0.016666666666666666,60,meta,14
20.096999999999998,79.10000000000001,3.70771961218631,0.014285714285714285,70,meta,14
18.098,78.4,3.3063579738044995,0.0125,80,meta,14
15.878000000000004,77.10000000000001,2.883190600206999,0.011111111111111112,90,meta,14
14.012,74.7,2.534002853151982,0.01,100,meta,14
12.320999999999998,72,2.2212795682492654,0.00909090909090909,110,meta,14
10.302000000000003,65.7,1.8404462607661718,0.008333333333333333,120,meta,14
8.254,57.49999999999999,1.462359943961307,0.007692307692307693,130,meta,14
6.023999999999999,44.1,1.0551431043709885,0.006666666666666667,150,meta,14
2.2649999999999997,18.5,0.3791638308557547,0.005555555555555556,180,meta,14
0.49600000000000094,5,0.08314866016594431,0.004545454545454545,220,meta,14
0.1539999999999999,1.5,0.02459934611136957,0.003703703703703704,270,meta,14
0,0,0,0.0027397260273972603,365,meta,14
