,camp_name,camp_total,camp_adult_men,camp_adult_women,camp_all_r,camp_adult_r,forage,turnover
1,a,38,9,8,0.085837482,0.062040441,NA,NA
2,b,54,13,11,0.080767383,0.064085145,35.6,0.6
3,c,13,4,2,0.123622796,0.04296875,NA,NA
4,d,96,21,20,0.076370828,0.065286776,41,0.525
5,e,33,6,5,0.112215909,0.036363636,NA,0.774
6,f,47,8,9,0.124161656,0.099264706,NA,NA
7,g,34,12,9,0.106109347,0.091666667,75,0.732
8,h,68,17,13,0.076492537,0.058261494,19.5,0.21
9,i,27,7,5,0.168402778,0.118371212,76.7,0.509
10,j,45,9,9,0.115396149,0.06811683,NA,NA
11,k,41,9,9,0.104401677,0.081699346,79.7,0.612
12,l,22,7,5,0.180465368,0.113636364,100,0.327
13,m,29,5,6,0.139143319,0.04375,93.2,0.122
14,n,36,9,9,0.102430556,0.073529412,96.2,0.384
15,o,32,9,6,0.1484375,0.107142857,53,0.789
