mean_infecteds,sum_persist,mean_percent_infected,omega,immunity_duration,model
45.491000000000014,77,21.29624511145183,0.3333333333333333,3,meta
38.443999999999996,78.3,16.749452055890323,0.14285714285714285,7,meta
33.339,77.2,14.0808730672884,0.07142857142857142,14,meta
23.681,78.5,9.388530143075041,0.05,20,meta
18.675,78,7.170306905009346,0.03333333333333333,30,meta
15.120999999999999,78.3,5.710839472821289,0.025,40,meta
12.490000000000002,77.9,4.655085462408874,0.02,50,meta
10.716,75.2,3.9529097142238725,0.016666666666666666,60,meta
8.723999999999998,69.39999999999999,3.1654849021849403,0.014285714285714285,70,meta
7.107000000000001,60.4,2.5111585617249506,0.0125,80,meta
5.4460000000000015,52.6,1.8999423269533902,0.011111111111111112,90,meta
3.8860000000000023,38.7,1.317802622159021,0.01,100,meta
2.5569999999999995,27.1,0.8485211083450481,0.00909090909090909,110,meta
1.6549999999999991,18.4,0.5446353636213161,0.008333333333333333,120,meta
1.014000000000003,12.1,0.3246856627114486,0.007692307692307693,130,meta
0.33000000000000107,5.1,0.10450225469737005,0.006666666666666667,150,meta
0.05600000000000004,0.8999999999999999,0.016509300779880345,0.005555555555555556,180,meta
0.0050000000000000626,0.1,0.0015479876160990607,0.004545454545454545,220,meta
0,0,0,0.003703703703703704,270,meta
0,0,0,0.0027397260273972603,365,meta
